from,to,rel_label,description,role,technologies,year,abbreviation,date
Nvidia,6G at UT,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-07-07
KAIST,LG-KASIT,PARTNERSHIP,No online summary found.,Research,,2019.0,KR,2019-01-10
US Department of Defense (DoD),US-NSF (RINGS),PROGRAM,"The RINGS program seeks to accelerate research in areas that will potentially have significant impact on emerging Next Generation (NextG) wireless and mobile communication, networking, sensing, and computing systems, along with global-scale services, with a focus on greatly improving the resiliency of such networked systems among other performance metrics.",Government,,2021.0,US,2021-04-27
Google,US-NSF (RINGS),PROGRAM,"The RINGS program seeks to accelerate research in areas that will potentially have significant impact on emerging Next Generation (NextG) wireless and mobile communication, networking, sensing, and computing systems, along with global-scale services, with a focus on greatly improving the resiliency of such networked systems among other performance metrics.",Commercial,,2021.0,US,2021-04-27
Nokia,US-NSF (RINGS),PROGRAM,"The RINGS program seeks to accelerate research in areas that will potentially have significant impact on emerging Next Generation (NextG) wireless and mobile communication, networking, sensing, and computing systems, along with global-scale services, with a focus on greatly improving the resiliency of such networked systems among other performance metrics.",Commercial,,2021.0,US,2021-04-27
AT&T,6G at UT,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-07-07
Apple,US-NSF (RINGS),PROGRAM,"The RINGS program seeks to accelerate research in areas that will potentially have significant impact on emerging Next Generation (NextG) wireless and mobile communication, networking, sensing, and computing systems, along with global-scale services, with a focus on greatly improving the resiliency of such networked systems among other performance metrics.",Commercial,,2021.0,US,2021-04-27
Ericsson,US-NSF (RINGS),PROGRAM,"The RINGS program seeks to accelerate research in areas that will potentially have significant impact on emerging Next Generation (NextG) wireless and mobile communication, networking, sensing, and computing systems, along with global-scale services, with a focus on greatly improving the resiliency of such networked systems among other performance metrics.",Commercial,,2021.0,US,2021-04-27
Qualcomm,6G at UT,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-07-07
VMware,US-NSF (RINGS),PROGRAM,"The RINGS program seeks to accelerate research in areas that will potentially have significant impact on emerging Next Generation (NextG) wireless and mobile communication, networking, sensing, and computing systems, along with global-scale services, with a focus on greatly improving the resiliency of such networked systems among other performance metrics.",Commercial,,2021.0,US,2021-04-27
"OPPO Mobile Telecommunications Corp., Ltd",6G AI Competition,EVENT,No online summary found.,Commercial,,2022.0,CN,2022-01-07
Samsung,Korea University NG Dept,PARTNERSHIP,No online summary found.,Commercial,,2022.0,KR,2022-01-17
Keysight Technologies,THz Demo,TESTBED,LG demonstrates 6G technology in Korea,Research,,2021.0,KR,2021-12-22
LG Electronics,THz Demo,TESTBED,No online summary found.,Commercial,,2021.0,KR,2021-12-22
LG Electronics,PA Demo,TESTBED,No online summary found.,Commercial,,2021.0,KR,2021-12-27
Fraunhofer Research Institute,PA Demo,TESTBED,No online summary found.,Research,,2021.0,KR,2021-12-27
University of Oulu,Oulu Ecosystem,PARTNERSHIP,No online summary found.,Academia,,2022.0,FI,2022-01-20
Reliance Jio Estonia OÜ,Oulu Ecosystem,PARTNERSHIP,No online summary found.,Commercial,,2022.0,FI,2022-01-20
FCC,FCC 6G Task Force,PROGRAM,No online summary found.,Government,,2022.0,US,2022-01-20
Microsoft,FCC 6G Task Force,PROGRAM,No online summary found.,Commercial,,2022.0,US,2022-01-20
NTT,FCC 6G Task Force,PROGRAM,No online summary found.,Commercial,,2022.0,JP,2022-01-20
Qualcomm,FCC 6G Task Force,PROGRAM,No online summary found.,Commercial,,2022.0,US,2022-01-20
S. Korea Ministry of Science and ICT,S. Korea Ministry of Science & ICT initiative,PROGRAM,No online summary found.,Government,,2022.0,KR,2022-01-26
SK Telecom,S. Korea Ministry of Science & ICT initiative,PROGRAM,No online summary found.,Commercial,,2022.0,KR,2022-01-26
KT,S. Korea Ministry of Science & ICT initiative,PROGRAM,No online summary found.,Commercial,,2022.0,KR,2022-01-26
LG U+,S. Korea Ministry of Science & ICT initiative,PROGRAM,No online summary found.,Commercial,,2022.0,KR,2022-01-26
Samsung Electronics,S. Korea Ministry of Science & ICT initiative,PROGRAM,No online summary found.,Commercial,,2022.0,KR,2022-01-26
LG Electronics,S. Korea Ministry of Science & ICT initiative,PROGRAM,No online summary found.,Commercial,,2022.0,KR,2022-01-26
Japan Ministry of Internal Affairs and Communications,6G Standards for Unmanned Tech,PROJECT,No online summary found.,Government,,2022.0,JP,2022-01-29
Tsinghua University,mmWave Demo,TESTBED,No online summary found.,Academia,,2022.0,CN,2022-02-11
Samsung,Test & Verification for 6G,PROJECT,No online summary found.,Commercial,,2022.0,KR,2022-02-15
Keysight Technologies,Test & Verification for 6G,PROJECT,"Keysight, Samsung Sign Memorandum of Understanding to Advance Research and Development of 6G Technology",Commercial,,2022.0,KR,2022-02-15
China Mobile,Metaverse Industry Committee,PROGRAM,No online summary found.,Commercial,,2022.0,CN,2022-02-16
TU Dresden,Human Centric Research,PROJECT,No online summary found.,Academia,,2022.0,DE,2022-02-28
VMware,Human Centric Research,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-02-28
IMDEA Networks,ENABLE 6G,PROJECT,No online summary found.,Research,,2022.0,ES,2022-02-28
Toyota Motor,Beyond 5G Promotion Consortium,PARTNERSHIP,No online summary found.,Commercial,,2022.0,JP,2022-03-18
NEC,Beyond 5G Promotion Consortium,PARTNERSHIP,No online summary found.,Commercial,,2022.0,JP,2022-03-18
Japan Ministry of Internal Affairs and Communications,Beyond 5G Promotion Consortium,PARTNERSHIP,No online summary found.,Government,,2022.0,JP,2022-03-18
Panasonic,Beyond 5G Promotion Consortium,PARTNERSHIP,No online summary found.,Commercial,,2022.0,JP,2022-03-18
NTT DoCoMo,Beyond 5G Promotion Consortium,PARTNERSHIP,No online summary found.,Commercial,,2022.0,JP,2022-03-18
KDDI,Beyond 5G Promotion Consortium,PARTNERSHIP,No online summary found.,Commercial,,2022.0,JP,2022-03-18
SoftBank Group,Beyond 5G Promotion Consortium,PARTNERSHIP,No online summary found.,Commercial,,2022.0,JP,2022-03-18
Rakuten Mobile,Beyond 5G Promotion Consortium,PARTNERSHIP,No online summary found.,Commercial,,2022.0,JP,2022-03-18
CUTS International Partners,Ethical Framework for 6G,PROJECT,No online summary found.,Research,,2022.0,AU,2022-05-05
Australian Risk Policy Institute,Ethical Framework for 6G,PROJECT,No online summary found.,Research,,2022.0,AU,2022-05-05
"International Institute of Information Technology, Bangalore",Ethical Framework for 6G,PROJECT,No online summary found.,Research,,2022.0,AU,2022-05-05
Government of France,France-India Training Collaboration,PARTNERSHIP,No online summary found.,Government,,2022.0,FR,2022-05-06
Government of India,France-India Training Collaboration,PARTNERSHIP,No online summary found.,Government,,2022.0,FR,2022-05-06
Beyond 5G Promotion Consortium,B5G-6GIA MoU,MOU,No online summary found.,Association,,2022.0,,2022-05-10
6G IA,B5G-6GIA MoU,MOU,6G Smart Networks and Services Industry Association (6G IA),Association,,2022.0,,2022-05-10
Government of Finland,6G Finland,PROGRAM,No online summary found.,Government,,2022.0,FI,2022-05-13
Aalto University,6G Finland,PROGRAM,No online summary found.,Academia,,2022.0,FI,2022-05-13
University of Helsinki,6G Finland,PROGRAM,No online summary found.,Academia,,2022.0,FI,2022-05-13
Lappeenranta-Lahti University of Technology,6G Finland,PROGRAM,No online summary found.,Academia,,2022.0,FI,2022-05-13
University of Oulu,6G Finland,PROGRAM,No online summary found.,Academia,,2022.0,FI,2022-05-13
University of Tampere,6G Finland,PROGRAM,No online summary found.,Academia,,2022.0,FI,2022-05-13
Oulu University of Applied Sciences,6G Finland,PROGRAM,No online summary found.,Academia,,2022.0,FI,2022-05-13
Nokia,6G Finland,PROGRAM,No online summary found.,Commercial,,2022.0,FI,2022-05-13
VTT Technical Research Centre of Finland,6G Finland,PROGRAM,No online summary found.,Research,,2022.0,FI,2022-05-13
Finnish Defense Research Agency,6G Finland,PROGRAM,No online summary found.,Government,,2022.0,FI,2022-05-13
BusinessOulu,6G Finland,PROGRAM,No online summary found.,Association,,2022.0,FI,2022-05-13
NGA,Japan-NAm MoU,MOU,No online summary found.,Association,,2022.0,,2022-05-24
Beyond 5G Promotion Consortium,Japan-NAm MoU,MOU,No online summary found.,Association,,2022.0,JP,2022-05-24
Keysight Technologies,Test Systems Supply Contract,PROJECT,Keysight Technologies supplies software-centric test and measurement solutions,Commercial,,2022.0,SG,2022-06-03
Center for Disruptive Photonic Technologies,Test Systems Supply Contract,PROJECT,No online summary found.,Research,,2022.0,SG,2022-06-03
Nokia,Nokia PoCs,TESTBED,No online summary found.,Commercial,,2022.0,FI,2022-06-06
NTT,Nokia PoCs,TESTBED,No online summary found.,Commercial,,2022.0,JP,2022-06-06
NTT DoCoMo,Nokia PoCs,TESTBED,No online summary found.,Commercial,,2022.0,JP,2022-06-06
NTT DoCoMo,NTT DoCoMo 6G Trials,TESTBED,No online summary found.,Commercial,,2022.0,JP,2022-06-06
NTT,NTT DoCoMo 6G Trials,TESTBED,No online summary found.,Commercial,,2022.0,JP,2022-06-06
Fujitsu,NTT DoCoMo 6G Trials,TESTBED,No online summary found.,Commercial,,2022.0,JP,2022-06-06
NEC,NTT DoCoMo 6G Trials,TESTBED,No online summary found.,Commercial,,2022.0,JP,2022-06-06
Nokia,NTT DoCoMo 6G Trials,TESTBED,No online summary found.,Commercial,,2022.0,JP,2022-06-06
6G IA,China-Europe Cooperation,PARTNERSHIP,6G Smart Networks and Services Industry Association (6G IA),Association,,2022.0,,2022-06-08
China IMT-2030 (6G) Promotion Group,China-Europe Cooperation,PARTNERSHIP,No online summary found.,Association,,2022.0,CN,2022-06-08
CapGemini,CapGemini Research Program,PROGRAM,No online summary found.,Commercial,,2022.0,,2022-06-13
Kings College London,CapGemini Research Program,PROGRAM,No online summary found.,Academia,,2022.0,GB,2022-06-13
Purple Mountain Laboratories,THz Demo (China),TESTBED,No online summary found.,Research,,2022.0,CN,2022-01-05
China Mobile,THz Demo (China),TESTBED,No online summary found.,Commercial,,2022.0,CN,2022-01-05
Fudan University,THz Demo (China),TESTBED,No online summary found.,Academia,,2022.0,CN,2022-01-05
University of Oulu,6G Flagship,PROGRAM,No online summary found.,Academia,,2018.0,FI,2018-05-01
Aalto University,6G Flagship,PROGRAM,No online summary found.,Academia,,2018.0,FI,2018-05-01
VTT Technical Research Centre of Finland,6G Flagship,PROGRAM,No online summary found.,Government,,2018.0,FI,2018-05-01
BusinessOulu,6G Flagship,PROGRAM,No online summary found.,Government,,2018.0,FI,2018-05-01
Nokia,6G Flagship,PROGRAM,No online summary found.,Commercial,,2018.0,FI,2018-05-01
Keysight Technologies,6G Flagship,PROGRAM,Keysight Technologies joins 6G Flagship,Standardization,,2019.0,US,2019-08-19
InterDigital,6G Flagship,PROGRAM,InterDigital joins 6G Flagship,Standardization,,2019.0,US,2019-09-23
Anritsu,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Charter Communications,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
AT&T,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
Apple,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Bell Canada,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
Booz Allen Hamilton,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Bell,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Ciena,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
Cisco,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Dell,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
DENSO,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
DZS,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Ericsson,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
Facebook,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
Global Foundries,NGA,PARTNERSHIP,"GlobalFoundries Inc. is a multinational semiconductor contract manufacturing and design company incorporated in the Cayman Islands and headquartered in Malta, New York",Commercial,,2021.0,US,2021-01-01
HPE,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Intel,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
InterDigital,NGA,PARTNERSHIP,InterDigital joins NextG Alliance,Standardization,,2020.0,US,2020-10-12
JMA,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
Google,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Ericsson,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
LG,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Keysight Technologies,NGA,PARTNERSHIP,Keysight Technologies joins NextG Alliance,Standardization,,2021.0,US,2021-01-01
Lockheed Martin,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Mavenir,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Mediatek,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-01-01
Meta,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Microsoft,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
MITRE,NGA,PARTNERSHIP,No online summary found.,Research,,2021.0,US,2021-01-01
NI,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Nokia,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
Ofinno,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Qualcomm,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
Radisys,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Samsung,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
Sharp,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
TMobile,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Telnyx,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Telus,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,CA,2020-10-12
Telnyx,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
T-Mobile US,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
TSMC,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
US Cellular,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
Verizion,NGA,PARTNERSHIP,No online summary found.,Commercial,,2020.0,US,2020-10-12
Viavi,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
VMWare,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Xilinx,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
6G at UT,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
AGC,NGA,PARTNERSHIP,"Established in 1907 as the first flat glass producer in Japan, AGC group has evolved into a world leading solutions company in Glass Chemicals and Ceramics industries. Through world leading technologies and expertise developed over more than 110 years of technical innovation we offer a diverse lineup of products and solutions for customers across more than 30 countries and areas. In order to further enrich society the AGC group pushes the limits in the creation of new standards of value and has made a commitment to positioning mobility related business, electronics related business and life science related business as our strategic initiatives.
",Commercial,,2021.0,JP,2021-01-01
CableLabs,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Cohere Tecnologies,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
DeepSig Inc.,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
NTT DoCoMo,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Everactive,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Fujitsu,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
FutreWei,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Georgetown University,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
Hyundai,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
IMEC,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,BE,2021-01-01
NorthEastern University,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
ITRI,NGA,PARTNERSHIP,No online summary found.,Research,,2021.0,,2021-01-01
Johns Hopkins,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
Mitacs,NGA,PARTNERSHIP,"Mitacs empowers Canadian innovation through effective partnerships that deliver solutions to our most pressing problems. By driving economic growth and productivity, we create meaningful change to improve quality of life for all Canadians. ",Research,,2021.0,CA,2021-01-01
Mobile Experience,NGA,PARTNERSHIP,Our single goal is enhancing the mobile experience by delivering advanced and reliable test and measurament solutions that provide real value to our customers,Commercial,,2021.0,US,2021-01-01
Motorola,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
muRata,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
NC State University,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
NEC,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Northwestern University,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
New York University,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
Old Dominion University,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
PSBN Innovation Alliance,NGA,PARTNERSHIP,No online summary found.,Association,,2021.0,CA,2021-01-01
Purdue University,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
Renesas,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Rohde & Schwarz,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Schneider Electric,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Spectral DSP,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
Stevens Institute of Technology,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
SUNY POLY,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
TDK,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Teradyne,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Texas AM University,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
Rellis,NGA,PARTNERSHIP,"The RELLIS campus is a collaborative ecosystem built to foster advanced research, technology development, testing and evaluation, higher education, and hands-on career training. RELLIS is currently seeking corporate, government, and educational partners for applied research opportunities. Part of the Texa A&M University System",Research,,2021.0,US,2021-01-01
University of Notre Dame,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
VDI,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
ViaSat,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
Virginia Tech,NGA,PARTNERSHIP,No online summary found.,Academia,,2021.0,US,2021-01-01
Wiliot,NGA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-01-01
CISA,NGA,PARTNERSHIP,No online summary found.,Government,,2021.0,US,2021-01-01
US Department of Defense (DoD),NGA,PARTNERSHIP,No online summary found.,Government,,2021.0,US,2021-01-01
FirstNet,NGA,PARTNERSHIP,No online summary found.,Government,,2021.0,US,2021-01-01
National Institute of Standards and Technology (NIST),NGA,PARTNERSHIP,No online summary found.,Government,,2021.0,US,2021-01-01
Nokia,Hexa-X,PROGRAM,No online summary found.,Commercial,,2021.0,FI,2021-01-12
Ericsson,Hexa-X,PROGRAM,No online summary found.,Commercial,,2021.0,SE,2021-01-12
Aalto University,Hexa-X,PROGRAM,No online summary found.,Academia,,2021.0,FI,2021-01-12
ATOS,Hexa-X,PROGRAM,No online summary found.,Commercial,,2021.0,FR,2021-01-12
B-COM,Hexa-X,PROGRAM,No online summary found.,Commercial,,2021.0,FR,2021-01-12
Chalmers University of Technology,Hexa-X,PROGRAM,No online summary found.,Academia,,2021.0,SE,2021-01-12
CEA,Hexa-X,PROGRAM,No online summary found.,Government,,2021.0,FR,2021-01-12
SZTAKI,Hexa-X,PROGRAM,No online summary found.,Research,,2021.0,HU,2021-01-12
Intel,Hexa-X,PROGRAM,No online summary found.,Commercial,,2021.0,US,2021-01-12
Nextworks SRL,Hexa-X,PROGRAM,No online summary found.,Commercial,,2021.0,IT,2021-01-12
Orange,Hexa-X,PROGRAM,No online summary found.,Commercial,,2021.0,FR,2021-01-12
Politecnico di Torino,Hexa-X,PROGRAM,No online summary found.,Academia,,2021.0,IT,2021-01-12
Qamcom Research & Technology AB,Hexa-X,PROGRAM,No online summary found.,Commercial,,2021.0,SE,2021-01-12
Siemens AG,Hexa-X,PROGRAM,No online summary found.,Commercial,,2021.0,DE,2021-01-12
TU Dresden,Hexa-X,PROGRAM,No online summary found.,Academia,,2021.0,DE,2021-01-12
Telecom Italia SpA,Hexa-X,PROGRAM,No online summary found.,Commercial,,2021.0,IT,2021-01-12
Telefónica,Hexa-X,PROGRAM,No online summary found.,Commercial,,2021.0,ES,2021-01-12
Universidad Carlos III de Madrid,Hexa-X,PROGRAM,No online summary found.,Academia,,2021.0,ES,2021-01-12
University of Pisa,Hexa-X,PROGRAM,No online summary found.,Academia,,2021.0,IT,2021-01-12
WINGS ICT Solutions,Hexa-X,PROGRAM,No online summary found.,Commercial,,2021.0,GR,2021-01-12
University of Oulu,Hexa-X,PROGRAM,No online summary found.,Academia,,2021.0,FI,2021-01-12
LG U+,LG U+ Nokia Collaboration,PARTNERSHIP,No online summary found.,Commercial,,2022.0,KR,2022-07-07
Nokia,LG U+ Nokia Collaboration,PARTNERSHIP,No online summary found.,Commercial,,2022.0,FI,2022-07-07
Nokia,6G-ANNA,PROJECT,No online summary found.,Research,,2022.0,DE,2022-07-11
Airbus,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
Bosch,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
Ericsson,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
Rohde & Schwarz,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
Siemens AG,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
Vodafone,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
AIN,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
Blackned,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
Cadami,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
Meshmerize,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
Mimetik,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
PHYSEC,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
Smart Mobile Labs,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
Wandelbots,6G-ANNA,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-11
Fraunhofer AISEC,6G-ANNA,PROJECT,No online summary found.,Research,,2022.0,DE,2022-07-11
Fraunhofer HHI,6G-ANNA,PROJECT,No online summary found.,Research,,2022.0,DE,2022-07-11
Fraunhofer IPT,6G-ANNA,PROJECT,No online summary found.,Research,,2022.0,DE,2022-07-11
