name,tech_area,date,url,description
Hexa-X-II,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#HEXA,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,,HORSE,PREDICT-6"
HORSE,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#HORSE,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,,PREDI"
PREDICT-6G,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#PREDICT-6G,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,"
PRIVATEER,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#PRIVATEER,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,"
RIGOUROUS,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#RIGOUROUS,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,"
SUPERIOT,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#SUPERIOT,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,"
TERA6G,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TERA6G,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,"
TERRAMETA,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TERRAMETA,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,"
TIMES,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TIMES,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,"
6G-BRICKS,SNS experimental infrastructures,2023,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-BRICKS,"The 3 projects in stream C (,6G-SANDBOX,6G-XR) aim at developing EU-wide experimentation platforms that can incorporate promising technical 6G enablers for their further validation. Key aspects for the projects are the reusability and ability to evolve of the experimental platforms over the lifetime"
6G-SANDBOX,SNS experimental infrastructures,2023,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-SANDBOX,"The 3 projects in stream C (6G-BRICKS,,6G-XR) aim at developing EU-wide experimentation platforms that can incorporate promising technical 6G enablers for their further validation. Key aspects for the projects are the reusability and ability to evolve of the experimental platforms over the lifetime "
6G-XR,SNS experimental infrastructures,2023,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-XR,"The 3 projects in stream C (6G-BRICKS,6G-SANDBOX,) aim at developing EU-wide experimentation platforms that can incorporate promising technical 6G enablers for their further validation. Key aspects for the projects are the reusability and ability to evolve of the experimental platforms over the life"
FIDAL,Large-Scale SNS Trials and Pilots,2023,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#FIDAL,"4 projects (,IMAGINE-B5G,TARGET-X,TrialsNet) are implementing large-scale SNS trials and pilots with specific verticals of high economic and societal importance. The aim is to explore and demonstrate 5G/6G technologies, advanced applications and services in vertical sectors such as energy, construct"
IMAGINE-B5G,Large-Scale SNS Trials and Pilots,2023,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#IMAGINE-B5G,"4 projects (FIDAL,,TARGET-X,TrialsNet) are implementing large-scale SNS trials and pilots with specific verticals of high economic and societal importance. The aim is to explore and demonstrate 5G/6G technologies, advanced applications and services in vertical sectors such as energy, construction, a"
TARGET-X,Large-Scale SNS Trials and Pilots,2023,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#TARGET-X,"4 projects (FIDAL,IMAGINE-B5G,,TrialsNet) are implementing large-scale SNS trials and pilots with specific verticals of high economic and societal importance. The aim is to explore and demonstrate 5G/6G technologies, advanced applications and services in vertical sectors such as energy, construction"
TrialsNet,Large-Scale SNS Trials and Pilots,2023,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#TrialsNet,"4 projects (FIDAL,IMAGINE-B5G,TARGET-X,) are implementing large-scale SNS trials and pilots with specific verticals of high economic and societal importance. The aim is to explore and demonstrate 5G/6G technologies, advanced applications and services in vertical sectors such as energy, construction,"
