name,full_name,date,participants,url,description
6G-XR,6G-XR,2023,Not listed,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-XR,SNS JU Call 1 Research Project
Stream D,Stream D,2023,Not listed,#1665133108589-716a2cad-5aa5,SNS JU Call 1 Research Project
Stream D,Stream D,2023,Not listed,#1665133108589-716a2cad-5aa5,SNS JU Call 1 Research Project
FIDAL,FIDAL,2023,Not listed,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#FIDAL,SNS JU Call 1 Research Project
IMAGINE-B5G,IMAGINE-B5G,2023,Not listed,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#IMAGINE-B5G,SNS JU Call 1 Research Project
TARGET-X,TARGET-X,2023,Not listed,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#TARGET-X,SNS JU Call 1 Research Project
TrialsNet,TrialsNet,2023,Not listed,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#TrialsNet,SNS JU Call 1 Research Project
CSAs,CSAs,2023,Not listed,#CSAs,SNS JU Call 1 Research Project
CSAs,CSAs,2023,Not listed,#CSAs,SNS JU Call 1 Research Project
SNS OPS,SNS OPS,2023,Not listed,https://smart-networks.europa.eu/csa-s/#SNS-OPS,SNS JU Call 1 Research Project
SNS ICE,SNS ICE,2023,Not listed,https://smart-networks.europa.eu/csa-s/#SNS-ICE,SNS JU Call 1 Research Project
Subscribe to our Newsletter,Subscribe to our Newsletter,2023,Not listed,https://smart-networks.europa.eu/sns-newsflash-newsletters/#subscribe,SNS JU Call 1 Research Project
